,precision,recall,f1-score,support
neg,1.0,0.9771689497716894,0.9884526558891454,219.0
pos,0.9830508474576272,1.0,0.9914529914529915,290.0
accuracy,0.9901768172888016,0.9901768172888016,0.9901768172888016,0.9901768172888016
macro avg,0.9915254237288136,0.9885844748858448,0.9899528236710684,509.0
weighted avg,0.9903433119110253,0.9901768172888016,0.9901620808665823,509.0
