,precision,recall,f1-score,support
neg,1.0,1.0,1.0,219.0
pos,1.0,1.0,1.0,290.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,509.0
weighted avg,1.0,1.0,1.0,509.0
