,precision,recall,f1-score,support
neg,1.0,0.9817351598173516,0.9907834101382489,219.0
pos,0.9863945578231292,1.0,0.9931506849315068,290.0
accuracy,0.9921414538310412,0.9921414538310412,0.9921414538310412,0.9921414538310412
macro avg,0.9931972789115646,0.9908675799086758,0.9919670475348779,509.0
weighted avg,0.9922483728265372,0.9921414538310412,0.9921321521619125,509.0
